country
Albania
Algeria
Andorra
Antigua and Barbuda
Argentina
Bahamas
Barbados
Belize
Bosnia and Herzegovina
Botswana
Brazil
Cameroon
Canada
Chile
Colombia
Comoros
Costa Rica
Côte d'Ivoire
Dominica
Dominican Republic
Ecuador
Egypt
El Salvador
Eswatini
Faroe Islands
Fiji
Georgia
Ghana
Grenada
Guatemala
Guyana
Honduras
India
Indonesia
Israel
Jamaica
Japan
Jordan
Kenya
Korea
Kosovo
Lebanon
Lesotho
Madagascar
Mauritius
Mexico
Moldova
Montenegro
Morocco
Mozambique
Namibia
New Zealand
Nicaragua
North Macedonia
Palestine
Panama
Papua New Guinea
Paraguay
Peru
Samoa
San Marino
Serbia
Seychelles
Singapore
Solomon Islands
South Africa
St Kitts and Nevis
Saint Lucia
St Vincent and the Grenadines
Suriname
Switzerland
Trinidad and Tobago
Tunisia
Türkiye
Ukraine
United Kingdom
Uruguay
Viet Nam
Zimbabwe
