date,region,order_number,quota_category,country,quota_limit_t,quota_allocated_t,pct_allocated,balance_remaining_t,pct_remaining,awaiting_allocation_t,validity_start,validity_end,status,scrape_status
2026-07-06,EU,099713,Electrical Sheets (other than GOES) - 3.B,Japan,554.14,0.0,0.0,554.14,100.0,,,,,ok
2026-07-06,EU,099714,Metallic Coated Sheets - 4.A,FTA Quota – Other countries,12761.32,71.0,0.56,12690.32,99.44,,,,,ok
2026-07-06,EU,099715,Metallic Coated Sheets - 4.A,Egypt,2943.83,9.48,0.32,2934.35,99.68,,,,,ok
2026-07-06,EU,099716,Metallic Coated Sheets - 4.A,Japan,2874.21,2874.21,100.0,0.0,0.0,,,,,ok
2026-07-06,EU,099717,Metallic Coated Sheets - 4.A,South Africa,3150.34,0.0,0.0,3150.34,100.0,,,,,ok
2026-07-06,EU,099718,Metallic Coated Sheets - 4.A,United Kingdom,11600.08,2017.31,17.39,9582.77,82.61,,,,,ok
2026-07-06,EU,099719,Metallic Coated Sheets - 4.B,FTA Quota – Other countries,22585.17,4549.5,20.14,18035.67,79.86,,,,,ok
2026-07-06,EU,099720,Metallic Coated Sheets - 4.B,Egypt,1878.7,0.0,0.0,1878.7,100.0,,,,,ok
2026-07-06,EU,099721,Metallic Coated Sheets - 4.B,Switzerland,314.48,22.69,7.22,291.79,92.78,,,,,ok
2026-07-06,EU,099722,Organic Coated Sheets - 5,FTA Quota – Other countries,1937.67,73.41,3.79,1864.26,96.21,,,,,ok
2026-07-06,EU,099723,Organic Coated Sheets - 5,North Macedonia,1831.54,99.82,5.45,1731.72,94.55,,,,,ok
2026-07-06,EU,099724,Tin Mill products - 6,FTA Quota – Other countries,5977.74,0.0,0.0,5977.74,100.0,,,,,ok
2026-07-06,EU,099725,Tin Mill products - 6,Japan,2917.88,2917.88,100.0,0.0,0.0,,,,,ok
2026-07-06,EU,099726,Tin Mill products - 6,Singapore,20.53,0.0,0.0,20.53,100.0,,,,,ok
2026-07-06,EU,099727,Non Alloy and Other Alloy Quarto Plates - 7,FTA Quota – Other countries,7414.97,27.29,0.37,7387.68,99.63,,,,,ok
2026-07-06,EU,099728,Non Alloy and Other Alloy Quarto Plates - 7,Türkiye,7007.71,281.84,4.02,6725.87,95.98,,,,,ok
2026-07-06,EU,099729,Stainless Hot Rolled Sheets and Strips - 8,FTA Quota – Other countries,427.29,0.0,0.0,427.29,100.0,,,,,ok
2026-07-06,EU,099730,Stainless Cold Rolled Sheets and Strips - 9,FTA Quota – Other countries,5554.25,1.21,0.02,5553.04,99.98,,,,,ok
2026-07-06,EU,099731,Stainless Cold Rolled Sheets and Strips - 9,Switzerland,409.05,18.52,4.53,390.53,95.47,,,,,ok
2026-07-06,EU,099732,Stainless Hot Rolled Quarto Plates - 10,FTA Quota – Other countries,271.23,0.0,0.0,271.23,100.0,,,,,ok
2026-07-06,EU,099733,Non Alloy and Other Alloy Merchant Bars and Light Sections - 12,FTA Quota – Other countries,10862.95,109.14,1.0,10753.81,99.0,,,,,ok
2026-07-06,EU,099734,Non Alloy and Other Alloy Merchant Bars and Light Sections - 12,Brazil,3046.26,103.56,3.4,2942.7,96.6,,,,,ok
2026-07-06,EU,099735,Non Alloy and Other Alloy Merchant Bars and Light Sections - 12,Egypt,2552.66,0.0,0.0,2552.66,100.0,,,,,ok
2026-07-06,EU,099736,Rebars - 13,FTA Quota – Other countries,9574.81,0.0,0.0,9574.81,100.0,,,,,ok
2026-07-06,EU,099737,Stainless Bars and Light Sections - 14,FTA Quota – Other countries,708.72,5.28,0.74,703.44,99.26,,,,,ok
2026-07-06,EU,099738,Stainless Wire Rod - 15,FTA Quota – Other countries,145.69,24.22,16.63,121.47,83.37,,,,,ok
2026-07-06,EU,099739,Non Alloy and Other Alloy Wire Rod - 16,FTA Quota – Other countries,34610.24,5181.09,14.97,29429.15,85.03,,,,,ok
